"Reference","Value","Footprint","Qty","LCSC Part #"
"C1","100nF X1 440V","","1","C105712"
"C2","100u","","1","C1594696"
"C3,C5,C10","10u","","3","C2174822"
"C4,C6,C8,C9","100n","","4","C599848"
"C7","100u tant","","1","C110548"
"C11,C12,C13","33n","","3","C129656"
"D1","RED","","1","C5879378"
"F1","500mA, SLOW, socketed","","1","C268204"
"FL1","UU9.8-103L0301","","1","C5174477"
"J2","Conn_01x05","","1","C19190479"
"PS1","HLK-PM01","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","1","C209903"
"R1","330R","","1","C105877"
"R2,R3,R4,R5","10k","","4","C105877"
"R6,R7,R8,R9","0.004R","","4","C375693"
"R10,R11,R12","1k","","3","C95781"
"R13,R14,R15,R16","470k","","4","C89104"
"RV1","MOV-10D561K","","1","C2656193"
"SW1","SW_Push","","1","C318938"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","C351784"
"U2","ESP-12F","RF_Module:ESP-12E","1","C82891"
"U3","HLW8032","","1",""
