Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,1,100nF X1 440V,C93321
"C10, C3, C5",1206,3,10u,C2174822
"C11, C12, C13",0805,3,33n,C129656
C2,CP_Radial_D8.0mm_P3.50mm,1,100u,C1594696
"C4, C6, C8, C9",0805,4,100n,C599848
C7,CP_EIA-7343-15_Kemet-W,1,100u tant,C110548
D1,0805,1,RED,C5879378
F1,FH1-200CK-G,1,"500mA, SLOW, socketed",C268204
FL1,YDUU9.8-103L0301,1,UU9.8-103L0301,C5174477
J1,KF7.62-2P,1,Screw_Terminal_AC,C707824
J2,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05,C19190479
J3,KF7.62-2P,1,Screw_Terminal_LOAD,C707824
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,C706874
PS1,Converter_ACDC_Hi-Link_HLK-PMxx,1,HLK-PM01,C209903
"Q1, Q2",SOT-23,2,BSS138,C5250986
"Q3, Q4",SOT-23,2,S8050-SOT23,C2891804
R1,0805,1,330R,C105877
"R10, R11, R12",0805,3,1k,C95781
"R13, R14, R15, R16",0805,4,470k,C89104
"R17, R18, R19, R2, R20, R21, R22, R3, R4, R5",0805,10,10k,C105877
"R6, R7, R8, R9",R_2512_Shunt,4,0.004R,C375693
RV1,RV_Disc_D12mm_W3.9mm_P7.5mm,1,MOV-10D561K,C2656193
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,C318938
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C351784
U2,ESP-12E,1,ESP-12F,C82891
U3,SOP-8_3.9x4.9mm_P1.27mm_custom,1,HLW8032,C128023
